Programming Category,,,,Study Quality,,"Study Quality
Rank 4","Study Quality
Rank 3","Study Quality
Rank 2","Study Quality
Rank 1"
,,,,Rank 5,,,,,
,,,,,,,,,
,Education Programs,,0,,,2,10,7,4
,,,,,,,,,
,Vocational Training,,0,,,0,9,5,3
,Programs,,,,,,,,
,Prison Industry,,0,,,0,5,2,1
,Programs,,,,,,,,
,Serious Mental Illness,,1,,,4,2,3,0
,Programs,,,,,,,,
,Trauma Programs,,3,,,6,3,2,3
,,,,,,,,,
,CBT Programs for,,8,,,8,10,4,13
,Mental &Behavioral,,,,,,,,
,Disorders,,,,,,,,
,Substance Use,,1,,,8,11,15,5
,Disorder Programs,,,,,,,,
,Sexual Disorder,,0,,,3,21,4,17
,Programs,,,,,,,,
,Faith-Based Programs,,0,,,0,8,3,8
,,,,,,,,,
,Financial Literacy,,0,,,0,0,0,2
,Programs,,,,,,,,
,Health & Wellness,,2,,,2,2,1,7
,Programs,,,,,,,,
,Women’s Programs,,1,,,0,1,1,3
,,,,,,,,,
,Special Population,,1,,,5,4,13,19
,Programs,,,,,,,,
,TOTAL,,17 Level 5,,,38 Level 4,86 Level 3,60 Level 2,85 Level 1
,,,,,,,,,
