BOP Program,"Status of
BOP
Evaluations","Evidence
Rating:
BOP
Evaluations","Evidence
Rating:
Outside
Evaluations
In-Prison
Outcomes",,Evidence,,"Comparability
Assessment","EBRR
Program
Classification"
,,,,,Rating:,,,
,,,,,Outside,,,
,,,,,Evaluations,,,
,,,,,Post-,,,
,,,,,Release,,,
,,,,,Outcomes,,,
"Barton Reading &
Spelling System
Program","Planned for
FY 2026",Unknown,Promising,Unknown,,,"Somewhat
Comparable","Provisional
EBRR Program"
"Hooked on Phonics
Program","Planned for
FY 2026",Unknown,Promising,Unknown,,,"Somewhat
Comparable","Provisional
EBRR Program"
"Bureau Literacy
Program","Planned for
FY 2025",Unknown,Effective,Promising,,,Comparable,EBBR Program
"Post-Secondary
Education Program","Planned for
FY 2025",Unknown,Effective,Effective,,,"Very
Comparable",EBRR Program
"English as a Second
Language Program","No Evaluation
Planned",Unknown,Unknown,Unknown,,,N/A,"Not an EBRR
Program"
"Apprenticeship
Training Program","Planned for
FY 2024",Unknown,Unknown,Promising,,,"Very
Comparable","Provisional
EBRR Program"
"Certification Course
Training Program","Planned for
FY 2024",Unknown,Unknown,Promising,,,"Very
Comparable","Provisional
EBRR Program"
"Vocational Training
Program","Planned for
FY 2024",Unknown,Unknown,Effective,,,"Very
Comparable",EBRR Program
"Women’s Career
Exploration Series
Program","Planned for
FY 2025",Unknown,Unknown,Unknown,,,N/A,"Not an EBRR
Program"
"Federal Prison
Industries Program","No Evaluation
Planned",Unknown,Unknown,Promising,,,Comparable,"Provisional
EBRR Program"
Skills Program,"Ongoing
Evaluation",Unknown,Promising,Unknown,,,Comparable,"Provisional
EBRR Program"
STAGES Program,"Ongoing
Evaluation",Unknown,Promising,Unknown,,,Comparable,"Provisional
EBRR Program"
"Mental Health Step
Down Program","Planned for
FY 2024",Unknown,Promising,Unknown,,,"Somewhat
Comparable","Provisional
EBRR Program"
"Illness Management
and Recovery
Program","Planned for
FY 2024",Unknown,Unknown,Unknown,,,N/A,"Not an EBRR
Program"
"Social Skills Training
Program","Planned for
FY 2024",Unknown,Unknown,Unknown,,,N/A,"Not an EBRR
Program"
Resolve Program,"Ongoing
Evaluation",Unknown,Ineffective,Unknown,,,"Somewhat
Comparable","Not an EBRR
Program"
"Seeking
Safety/Seeking
Strength Program","Ongoing
Evaluation",Unknown,Ineffective,Unknown,,,"Very
Comparable","Not an EBRR
Program"
