"Cognitive Processing
Therapy Program","Evaluation
Planned for
FY 2026",Unknown,Unknown,Unknown,N/A,"Not an EBRR
Program"
"Dialectical Behavior
Therapy Program","Evaluation
Planned for
FY 2026",Unknown,Promising,Unknown,"Very
Comparable","Provisional
EBRR Program"
BRAVE Program,"Ongoing
Evaluation",Promising,Promising,Unknown,Comparable,"Provisional
EBRR Program"
Challenge Program,"Evaluation
Planned for
FY 2023",Unknown,Promising,Unknown,Comparable,"Provisional
EBRR Program"
"Anger Management
Program","Ongoing
Evaluation",Unknown,Promising,Unknown,"Somewhat
Comparable","Provisional
EBRR Program"
"Basic Cognitive Skills
Program","Evaluated
Planned for
FY 2023",Unknown,Effective,Unknown,"Somewhat
Comparable","Provisional
EBRR Program"
"Criminal Thinking
Program","Evaluated
Planned for
FY 2028",Unknown,Effective,Unknown,Comparable,EBRR Program
"Emotional Self-
Regulation Program","Evaluated
Planned for
FY 2026",Unknown,Effective,Unknown,Comparable,EBRR Program
"Residential Drug
Abuse Program","Ongoing
Evaluation",Unknown,Unknown,Effective,Comparable,EBRR Program
"Nonresidential Drug
Abuse Program","Ongoing
Evaluation",Unknown,Mixed,Effective,"Somewhat
Comparable","Provisional
EBRR Program"
"Sex Offender
Treatment Program -
Residential","Evaluation
Planned for
FY 2024",Unknown,Unknown,Mixed,Comparable,"Provisional
EBRR Program"
"Sex Offender
Treatment Program -
Nonresidential","Ongoing
Evaluation",Unknown,Unknown,Ineffective,"Somewhat
Comparable","Not an EBRR
Program"
"Life Connections
Program","Ongoing
Evaluation",Promising,Promising,Mixed,Comparable,"Provisional
EBRR Program"
Threshold Program,"Ongoing
Evaluation",Unknown,Unknown,Unknown,N/A,"Not an EBRR
Program"
"Money Smart for
Adults Program","Evaluation
Planned for
FY 2024",Unknown,Unknown,Unknown,N/A,"Not an EBRR
Program"
"Money Smart for
Older Adults
Program","Evaluation
Planned for
FY 2024",Unknown,Unknown,Unknown,N/A,"Not an EBRR
Program"
"Women’s Basic
Financial Literacy
Program","No Evaluation
Planned",Unknown,Unknown,Unknown,N/A,"Not an EBRR
Program"
FIT Program,"Ongoing
Evaluation",Unknown,Mixed,Mixed,Comparable,"Provisional
EBRR Program"
Foundation Program,"Ongoing
Evaluation",Unknown,Promising,Unknown,"Not
Comparable","Not an EBRR
Program"
"Assert Yourself for
Female Offenders
Program","Evaluation
Planned for
FY 2025",Unknown,Promising,Unknown,"Somewhat
Comparable","Provisional
EBRR Program"
"National Parenting
from Prison Program","Evaluation
Planned for
FY 2025",Unknown,Effective,Unknown,Comparable,EBRR Program
