BOP Program,"Status of
BOP
Evaluations","Evidence
Rating:
BOP
Evaluations",,Evidence,,,Evidence,,"Comparability
Assessment"
,,,,Rating:,,,Rating:,,
,,,,Outside,,,Outside,,
,,,,Evaluations,,,Evaluations,,
,,,,In-Prison,,,Post-Release,,
,,,,Outcomes,,,Outcomes,,
"Women in the 21st Century
Workplace Program","No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
"Ultra Key 6: The Ultimate
Keyboarding Program","No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
"Federal Prison Industries Lean Basics
Training Program","No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
Supported Employment Program,"No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
"Wellness Recovery Action Plan
Program","No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
Trauma Education Program,"Ongoing
Evaluation",Unknown,Unknown,,,Unknown,,,N/A
ACCESS Program,"No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
Beyond Violence Program,"No Evaluation
Planned",Unknown,Unknown,,,Not Promising,,,"Very
Comparable"
Pu’a Foundation Reentry Program,"No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
"Mindfulness-Based Cognitive
Therapy Program","No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
Circle of Strength Program,"No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
"Brief CBT for Suicidal lndividuals
Program","No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
CBT for Eating Disorders Program,"No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
CBT for Insomnia Program,"No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
CBT for Prison Gambling Program,"No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
START Now Program,"No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
Drug Education Program,"Ongoing
Evaluation",Unknown,Unknown,,,Unknown,,,N/A
K2 Awareness Program,"No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
Alcoholics Anonymous Program,"No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
Narcotics Anonymous Program,"No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
Sexual Self-Regulation Program,"No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
Aleph Institute Program,"No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
"Embracing Interfaith Cooperation
Program","No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
Houses of Healing Program,"No Evaluation
Planned",Unknown,Unknown,,,Unknown,,,N/A
