"AARP Foundation Finances 50+
Program","No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
A Healthier Me Program,"No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
A Matter of Balance Program,"No Evaluation
Planned",Unknown,Effective,Unknown,"Not
Comparable"
Brain Health as You Age Program,"No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
"Getting to Know Your Healthy Aging
Body Program","No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
"Health and Wellness Through the
Lifespan Program","No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
"Healthy Steps for Older Adults
Program","No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
Talking with Your Doctor Program,"No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
Women’s Aging Program,"No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
"Arthritis Foundation Walk with Ease
Program","No Evaluation
Planned",Unknown,Effective,Unknown,"Not
Comparable"
"Living a Healthy Life with Chronic
Conditions Program","No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
Managing Your Diabetes Program,"No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
"National Diabetes Prevention
Program","No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
Change Plan Program,"No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
Women’s Reflection Group Program,"No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
Women’s Relationships I Program,"No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
Women’s Relationships II Program,"No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
"Understanding Your Feelings
Program","No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
"Square One Essentials for Women
Program","No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
Resilience Support Program,"No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
Service Fit Program,"No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
Soldier On Program,"No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
Disabilities Education Program,"No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
PEER Program,"No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
Victim Impact Program,"No Evaluation
Planned",Unknown,Mixed,Unknown,"Very
Comparable"
"Franklin Covey 7 Habits Inside
Program","No Evaluation
Planned",Unknown,Unknown,Unknown,N/A
