Program,"Status of
BOP
Evaluations","Evidence
Rating:
BOP
Evaluations","Evidence
Rating:
Outside
Evaluations
In-Prison
Outcomes",,Evidence,,"Comparability
Assessment","EBRR
Program
Classification"
,,,,,Rating:,,,
,,,,,Outside,,,
,,,,,Evaluations,,,
,,,,,Post-,,,
,,,,,Release,,,
,,,,,Outcomes,,,
"Women’s Career
Exploration Series
Program","Planned for
FY 2025",Unknown,Unknown,Unknown,,,N/A,"Not an EBRR
Program"
Resolve Program,"Ongoing
Evaluation",Unknown,Ineffective,Unknown,,,"Somewhat
Comparable","Not an EBRR
Program"
"Seeking
Safety/Seeking
Strength Program","Ongoing
Evaluation",unknown,Ineffective,Unknown,,,"Very
Comparable","Not an EBRR
Program"
"Anger Management
Program","Ongoing
Evaluation",Unknown,Promising,Unknown,,,"Somewhat
Comparable","Provisional
EBRR Program"
"Basic Cognitive Skills
Program","Evaluated
Planned for
FY 2023",Unknown,Effective,Unknown,,,"Somewhat
Comparable","Provisional
EBRR Program"
"Criminal Thinking
Program","Evaluated
Planned for
FY 2028",Unknown,Effective,Unknown,,,Comparable,EBRR Program
"Emotional Self-
Regulation Program","Evaluated
Planned for
FY 2026",Unknown,Effective,Unknown,,,Comparable,EBRR Program
"Residential Drug
Abuse Program","Ongoing
Evaluation",Unknown,Unknown,Effective,,,Comparable,EBRR Program
"Nonresidential Drug
Abuse Program","Ongoing
Evaluation",Unknown,Mixed,Effective,,,"Somewhat
Comparable","Provisional
EBRR Program"
"Sex Offender
Treatment Program -
Nonresidential","Ongoing
Evaluation",Unknown,Unknown,Ineffective,,,"Not
Comparable","Not an EBRR
Program"
"Life Connections
Program","Ongoing
Evaluation",Promising,Promising,Mixed,,,Comparable,"Provisional
EBRR Program"
Threshold Program,"Ongoing
Evaluation",Unknown,Unknown,Unknown,,,N/A,"Not an EBRR
Program"
"Women’s Basic
Financial Literacy
Program","No Evaluation
Planned",Unknown,Unknown,Unknown,,,N/A,"Not an EBRR
Program"
"National Parenting
from Prison Program","Evaluation
Planned for
FY 2025",Unknown,Effective,Unknown,,,Comparable,EBRR Program
"Women in the 21st
Century Workplace
Program","No Evaluation
Planned",Unknown,Unknown,Unknown,,,N/A,N/A
"Trauma Education
Program","Ongoing
Evaluation",Unknown,Ineffective,Unknown,,,"Somewhat
Comparable",N/A
ACCESS Program,"No Evaluation
Planned",Unknown,Unknown,Unknown,,,N/A,N/A
"Beyond Violence
Program","No Evaluation
Planned",Unknown,Unknown,"Not
Promising",,,"Very
Comparable",N/A
"Pu’a Foundation
Reentry Program","No Evaluation
Planned",Unknown,Unknown,Unknown,,,N/A,N/A
