"Assert Yourself
for Female
Offenders
Program (EBRR)",,,"Evaluation
Planned for FY
2025",Unknown,,Promising for,,Unknown,"Somewhat
Comparable"
,,,,,,psychsocial,,,
,,,,,,improvement;,,,
,,,,,,Unknown for,,,
,,,,,,prison,,,
,,,,,,misconduct,,,
,Women’s,,"No Evaluation
Planned",Unknown,Unknown,Unknown,,Unknown,N/A
,Relationships I,,,,,,,,
,Program (PA),,,,,,,,
,Women’s,,"No Evaluation
Planned",Unknown,Unknown,,,Unknown,N/A
,Relationships II,,,,,,,,
,Program (PA),,,,,,,,
,Understanding,,"No Evaluation
Planned",Unknown,Unknown,,,Unknown,N/A
,Your Feelings,,,,,,,,
,(PA),,,,,,,,
,Square One,,"No Evaluation
Planned",Unknown,Unknown,,,Unknown,N/A
,Essentials for,,,,,,,,
,Women Program,,,,,,,,
,(PA),,,,,,,,
,Women’s,,"No Evaluated
Planned",Unknown,Unknown,,,Unknown,N/A
,Reflection Group,,,,,,,,
,(PA),,,,,,,,
