,Cognitive,,"Evaluation
Planned for FY
2026*",Unknown,Unknown,Unknown,,,N/A
,Processing,,,,,,,,
,Therapy,,,,,,,,
,Program (EBRR),,,,,,,,
,Dialectical,,"Evaluation
Planned for FY
2026*",Unknown,Promising,Unknown,,,Very Comparable
,Behavior,,,,,,,,
,Therapy,,,,,,,,
,Program (EBRR),,,,,,,,
,ACCESS,,"No Evaluation
Planned",Unknown,Unknown,Unknown,,,N/A
,Program (PA),,,,,,,,
"Beyond
Violence
Program (PA)",Beyond,,"No Evaluation
Planned",Unknown,Unknown,,Not,,Very Comparable
,Violence,,,,,,Promising: 1,,
,,,,,,,study no,,
,Program (PA),,,,,,,,
,,,,,,,effects on,,
,,,,,,,recidivism or,,
,,,,,,,post-release,,
,,,,,,,substance use,,
,,,,,,,relapse,,
,Pu’a,,"No Evaluation
Planned",Unknown,Unknown,Unknown,Unknown,,N/A
,Foundation,,,,,,,,
,Reentry,,,,,,,,
,Program (PA),,,,,,,,
