,,,,,,,,,,
,The Effectiveness of Prison-Based CBT Mental/Behavioral Disorder Programs,,,,,,,,,
,Summary of Program Rankings,,,,,,,,,
,,,,,,,,,,
BOP Program,,,"Status of
BOP
Evaluations","Evidence
Rating: BOP
Program
Evaluations","Evidence
Rating:
Outside
Evaluations -
Intermediate
Outcomes",,,"Evidence
Rating:
Outside
Evaluations -
Post-Release
Outcomes","Comparability
Assessment",
"BRAVE Program
(EBRR)",,,"Ongoing
Evaluation
Anticipated
Completion FY
2026","Promising for
misconduct
reduction",,Promising for,,Unknown,Comparable,
,,,,,,misconduct,,,,
,,,,,,"reduction,",,,,
,,,,,,improved,,,,
,,,,,,institutional,,,,
,,,,,,adjustment,,,,
"Challenge
Program (EBRR)",,,"Evaluation
Planned for FY
2023",Unknown,,Promising for,,Unknown,Comparable,
,,,,,,misconduct,,,,
,,,,,,"reduction,",,,,
,,,,,,improved,,,,
,,,,,,institutional,,,,
,,,,,,adjustment,,,,
"Anger
Management
Program (EBRR)",,,"Ongoing
Evaluation
Anticipated
Completion FY
2024",Unknown,,Promising for,,Unknown,"Somewhat
Comparable",
,,,,,,misconduct,,,,
,,,,,,"reduction,",,,,
,,,,,,institutional,,,,
,,,,,,"adjustment, and",,,,
,,,,,,symptom,,,,
,,,,,,reduction,,,,
,Basic Cognitive,,"Evaluation
Planned for FY
2023",Unknown,"Effective for
symptom
reduction",Effective for,,Unknown,"Somewhat
Comparable",
,Skills Program,,,,,symptom,,,,
,(EBRR),,,,,reduction,,,,
"Criminal
Thinking
Program (EBRR)",Criminal,,"Ongoing
Evaluation
Anticipated
Completion FY
2028",Unknown,,Effective for,,Unknown,Comparable,
,Thinking,,,,,misconduct,,,,
,Program (EBRR),,,,,"reduction,",,,,
,,,,,,improved,,,,
,,,,,,institutional,,,,
,,,,,,adjustment,,,,
