,Emotional Self-,,"Evaluation
Planned for FY
2026",,,Unknown,"Effective for
symptom
reduction",Unknown,Comparable
,Regulation,,,,,,,,
,Program (EBRR),,,,,,,,
,Mindfulness-,,"No Evaluation
Planned",,,Unknown,Unknown,Unknown,N/A
,Based Cognitive,,,,,,,,
,Therapy,,,,,,,,
,Program (PA),,,,,,,,
,Circle of,,"No Evaluation
Planned",,,Unknown,Unknown,Unknown,N/A
,Strength,,,,,,,,
,Program (PA),,,,,,,,
,Brief CBT for,,"No Evaluation
Planned",,,Unknown,Unknown,Unknown,N/A
,Suicidal,,,,,,,,
,Individuals,,,,,,,,
,Program (PA),,,,,,,,
,CBT for Eating,,"No Evaluation
Planned",,,Unknown,Unknown,Unknown,N/A
,Disorders,,,,,,,,
,Program (PA),,,,,,,,
,CBT for Insomnia,,,No Evaluation,,Unknown,Unknown,Unknown,N/A
,Program (PA),,,Planned,,,,,
,CBT for Prison,,"No Evaluation
Planned",No Evaluation,,Unknown,Unknown,Unknown,N/A
,Gambling,,,Planned,,,,,
,Program (PA),,,,,,,,
,Start Now,,,No Evaluation,,Unknown,Unknown,Unknown,N/A
,Program (PA),,,Planned,,,,,
