,,,,,,,,,,,,,,,,,,,,,
,Project Director:,,,,,,,,,,,,,,,,,,,,
,"Calvin Edwards, DPA, CEO",,,,,,,,,,,,,,,,,,,,
,Global Corrections Group,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Evaluation Research Review Team:,,,,,,,,,,,,,,,,,,,,
,"Patti Butterfield, PhD",,,,,,,,,,,,,,,,,,,,
,"James Byrne, PhD",,,,,,,,,,,,,,,,,,,,
,"Don Hummer, PhD",,,,,,,,,,,,,,,,,,,,
,"Sabrina Rapisarda, MA, MEd",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Program,,Target Population,,,Need(s),,,,,"D
o
s
a
g
e",,,"a
t
F
Y
2
3
E
n
d","In
s
t
it
u
t
io
n
s",,,"a
t
F
Y
2
3
E
n
d","P
a
r
t
ic
ip
a
n
t
s",,"Estimated % of
Target Population
Served Since
1/15/20"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BRAVE
Program
(EBRR)",BRAVE,,,Newly designated medium,,"Cognitions,
Antisocial Peers",,,"500
hours",500,,,5,5,,,275,275,,,"1.33% of medium
security individuals"
,Program,,,security individuals 32 years,,,,,,hours,,,,,,,,,,,
,(EBRR),,,of age or younger serving,,,,,,,,,,,,,,,,,
,,,,sentences of 5 years or,,,,,,,,,,,,,,,,,
,,,,more,,,,,,,,,,,,,,,,,
"Challenge
Program
(EBRR)",,,"High security individuals to
include those with
substance use and/or
mental health issues",High security individuals to,,,"Substance Use,",,"500
hours",,,,12,,,,728,,,,"6.82% of high security
individuals"
,,,,include those with,,,"Cognitions,",,,,,,,,,,,,,,
,,,,substance use and/or,,,"Anger/Hostility,",,,,,,,,,,,,,,
,,,,mental health issues,,,"Antisocial Peers,",,,,,,,,,,,,,,
,,,,,,,Mental Health,,,,,,,,,,,,,,
,Anger,,"Individuals with elevated
levels of anger/hostility",,,"Anger/ Hostility,
Cognitions","Anger/ Hostility,",,"18
hours",,,,94,,,,"1,626",,,,"17.57% of individuals
with an anger/
hostility need"
,Management,,,,,,Cognitions,,,,,,,,,,,,,,
,Program,,,,,,,,,,,,,,,,,,,,
,(EBRR),,,,,,,,,,,,,,,,,,,,
,Basic,,,Individuals with a need for,,Cognitions,,,"24
hours",,,,62,,,,695,,,,"9.76% of individuals
with a cognitions
need"
,Cognitive,,,basic cognitive skills as a,,,,,,,,,,,,,,,,,
,Skills Program,,,foundation for future,,,,,,,,,,,,,,,,,
,,,,programming,,,,,,,,,,,,,,,,,
,(EBRR),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Criminal,,"Individuals with criminal
thinking errors",Individuals with criminal,,"Cognitions,
Antisocial Peers",,,"27
hours",,,,73,,,,"1,034",,,,"10.12% of individuals
with a cognitions
need"
,Thinking,,,thinking errors,,,,,,,,,,,,,,,,,
,Program,,,,,,,,,,,,,,,,,,,,
,(EBRR),,,,,,,,,,,,,,,,,,,,
,Emotional,,"Individuals with difficulty
modulating and managing
their emotions",,,"Cognitions,
Mental Health",,,"24
hours",,,,24,,,,222,,,,"31.03% of individuals
with a mental health
need"
,Self-,,,,,,,,,,,,,,,,,,,,
,Regulation,,,,,,,,,,,,,,,,,,,,
,Program,,,,,,,,,,,,,,,,,,,,
,(EBRR),,,,,,,,,,,,,,,,,,,,
,Mindfulness-,,"Individuals with depression
and/or anxiety",,,Mental Health,,,"16
hours",,,,8,,,,23,,,,"4.33% of individuals
with a mental health
need"
,Based,,,,,,,,,,,,,,,,,,,,
,Cognitive,,,,,,,,,,,,,,,,,,,,
,Therapy (PA),,,,,,,,,,,,,,,,,,,,
,Circle of,,"Individuals at detention
centers",,,"Cognitions,
Mental Health,
Trauma",,,"20
hours",,,,18,,,,212,,,,"12.71% of individuals
in detention centers"
,Strength,,,,,,,,,,,,,,,,,,,,
,Program (PA),,,,,,,,,,,,,,,,,,,,
