"Maryland Scientific
Methods Scale",Odds Ratio,"95% Confidence
Interval",n,k
Level 5,0.61*,0.44 to 0.85,2,2
Levels 4 and 5,0.57*,0.47 to 0.70,7,9
"Levels 3, 4, and 5",0.68*,0.60 to 0.78,27,38
"Levels 2, 3, 4, and 5 (total sample)",0.64*,0.59 to 0.70,50,71
Program Type,Odds Ratio,"95% Confidence
Interval",n,k
Adult basic education,0.67*,0.57 to 0.79,13,19
High school/GED,0.70*,0.64 to 0.77,22,28
Postsecondary education,0.49*,0.39 to 0.60,19,24
Vocational education,0.64*,0.58 to 0.72,34,42
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
